"topic","ds","__dt"
"0","2018-05-22 15:51:07","2022-04-09 00:00:00.000"
"0","2018-05-22 15:43:13","2022-04-09 00:00:00.000"
"2","2018-05-22 15:43:43","2022-04-09 00:00:00.000"
"1","2018-05-22 15:51:03","2022-04-09 00:00:00.000"
"1","2018-05-22 16:40:42","2022-04-09 00:00:00.000"
"1","2018-05-22 15:50:44","2022-04-09 00:00:00.000"
"1","2018-05-22 15:51:59","2022-04-09 00:00:00.000"
"1","2018-05-22 15:43:18","2022-04-09 00:00:00.000"
"1","2018-05-22 15:42:51","2022-04-09 00:00:00.000"
"1","2018-05-22 16:05:51","2022-04-09 00:00:00.000"
"1","2018-05-22 15:42:41","2022-04-09 00:00:00.000"
"2","2018-05-22 15:51:29","2022-04-09 00:00:00.000"
"1","2018-05-22 15:43:00","2022-04-09 00:00:00.000"
"0","2018-05-22 15:59:43","2022-04-09 00:00:00.000"
"0","2018-05-22 16:04:59","2022-04-09 00:00:00.000"
"2","2018-05-22 16:01:08","2022-04-09 00:00:00.000"
"0","2018-05-22 16:01:26","2022-04-09 00:00:00.000"
"1","2018-05-22 16:06:02","2022-04-09 00:00:00.000"
"1","2018-05-22 15:50:53","2022-04-09 00:00:00.000"
"2","2018-05-22 16:44:06","2022-04-09 00:00:00.000"
"2","2018-05-22 15:43:27","2022-04-09 00:00:00.000"
"1","2018-05-22 15:43:38","2022-04-09 00:00:00.000"
"0","2018-05-22 16:39:07","2022-04-09 00:00:00.000"
"2","2018-05-22 16:06:16","2022-04-09 00:00:00.000"
"1","2018-05-22 15:43:48","2022-04-09 00:00:00.000"
"0","2018-05-22 16:05:18","2022-04-09 00:00:00.000"
"0","2018-05-22 15:51:39","2022-04-09 00:00:00.000"
"0","2018-05-22 15:50:48","2022-04-09 00:00:00.000"
"0","2018-05-22 16:04:29","2022-04-09 00:00:00.000"
"0","2018-05-22 16:39:32","2022-04-09 00:00:00.000"
"1","2018-05-22 15:51:33","2022-04-09 00:00:00.000"
"1","2018-05-22 15:51:49","2022-04-09 00:00:00.000"
"2","2018-05-22 16:05:07","2022-04-09 00:00:00.000"
"1","2018-05-22 15:47:01","2022-04-09 00:00:00.000"
"0","2018-05-22 15:44:14","2022-04-09 00:00:00.000"
"2","2018-05-22 16:39:48","2022-04-09 00:00:00.000"
"0","2018-05-22 16:40:13","2022-04-09 00:00:00.000"
"2","2018-05-22 16:21:12","2022-04-09 00:00:00.000"
"1","2018-05-22 16:21:31","2022-04-09 00:00:00.000"
"2","2018-05-22 16:01:49","2022-04-09 00:00:00.000"
"1","2018-05-22 16:21:37","2022-04-09 00:00:00.000"
"2","2018-05-22 16:05:40","2022-04-09 00:00:00.000"
"2","2018-05-22 16:40:00","2022-04-09 00:00:00.000"
"1","2018-05-22 15:42:56","2022-04-09 00:00:00.000"
"1","2018-05-22 16:43:28","2022-04-09 00:00:00.000"
"1","2018-05-22 16:40:07","2022-04-09 00:00:00.000"
"0","2018-05-22 16:39:26","2022-04-09 00:00:00.000"
"1","2018-05-22 15:52:04","2022-04-09 00:00:00.000"
"1","2018-05-22 16:04:04","2022-04-09 00:00:00.000"
"2","2018-05-22 15:44:02","2022-04-09 00:00:00.000"
"2","2018-05-22 15:47:09","2022-04-09 00:00:00.000"
"1","2018-05-22 16:22:17","2022-04-09 00:00:00.000"
"1","2018-05-22 16:43:16","2022-04-09 00:00:00.000"
"1","2018-05-22 16:01:21","2022-04-09 00:00:00.000"
"0","2018-05-22 16:21:54","2022-04-09 00:00:00.000"
"1","2018-05-22 16:01:14","2022-04-09 00:00:00.000"
"0","2018-05-22 15:43:22","2022-04-09 00:00:00.000"
"0","2018-05-23 20:06:12","2022-04-09 00:00:00.000"
"0","2018-05-22 16:22:34","2022-04-09 00:00:00.000"
"2","2018-05-22 16:41:21","2022-04-09 00:00:00.000"
"2","2018-05-22 15:51:23","2022-04-09 00:00:00.000"
"0","2018-05-22 15:43:53","2022-04-09 00:00:00.000"
"0","2018-05-22 15:51:54","2022-04-09 00:00:00.000"
"0","2018-05-22 16:05:23","2022-04-09 00:00:00.000"
"2","2018-05-23 20:06:21","2022-04-09 00:00:00.000"
"0","2018-05-22 15:44:07","2022-04-09 00:00:00.000"
"0","2018-05-22 15:51:14","2022-04-09 00:00:00.000"
"2","2018-05-22 15:43:07","2022-04-09 00:00:00.000"
"0","2018-05-22 16:05:12","2022-04-09 00:00:00.000"
"2","2018-05-22 16:04:47","2022-04-09 00:00:00.000"
"0","2018-05-22 15:51:44","2022-04-09 00:00:00.000"
"2","2018-05-22 16:21:59","2022-04-09 00:00:00.000"
"1","2018-05-22 16:05:56","2022-04-09 00:00:00.000"
"0","2018-05-22 16:21:25","2022-04-09 00:00:00.000"
"0","2018-05-22 16:39:20","2022-04-09 00:00:00.000"
